name,empty_slots,free_bikes,latitude,longitude,timestamp
Gabriel Péri - Francisco Ferrer,1,16,48.88633710236977,2.407338917255402,2023-12-06T02:45:11.257000Z
Place de la Reine Astrid,46,8,48.864920982538,2.3025491823859,2023-12-06T02:45:10.826000Z
Lucie Aubrac - Fort,18,12,48.818144834008976,2.271184623241425,2023-12-06T02:45:09.972000Z
Pajol - Place Herbert,3,36,48.8927825,2.3635598,2023-12-06T02:45:10.873000Z
Fédération - Suffren,15,10,48.852828153442,2.2978776320815,2023-12-06T02:45:10.394000Z
Hôpital Européen Georges Pompidou ,56,7,48.83769531916335,2.275374233722687,2023-12-06T02:45:09.927000Z
Concorde - Stalingrad,13,22,48.7985844,2.3821302,2023-12-06T02:45:12.199000Z
Carducci - Place Hannah Arendt,12,15,48.877436681515796,2.3860743641853337,2023-12-06T02:45:09.765000Z
Saint-Jacques - Val de Grâce,10,9,48.8417514,2.3413893,2023-12-06T02:45:09.348000Z
Manin - Carrières d'Amérique,13,7,48.88467214209463,2.3919698596000676,2023-12-06T02:45:10.783000Z
Victor Hugo - Jeanne Jugan,22,6,48.843949064031825,2.415081394834419,2023-12-06T02:45:10.321000Z
Porte de Vanves,29,3,48.828012849445,2.3056878894567,2023-12-06T02:45:10.932000Z
Place de la République - Voltaire,15,2,48.866830968942,2.3654810339212,2023-12-06T02:45:09.824000Z
Conservatoire de Musique,12,13,48.77093586667601,2.4034014344215398,2023-12-06T02:45:10.295000Z
Gare de l'Est - Fidélité,5,9,48.874575,2.356796,2023-12-06T02:45:09.429000Z
Championnet - Vauvenargues,6,25,48.89401874744574,2.3319872841238976,2023-12-06T02:45:11.160000Z
Buisson Saint-Louis - Saint-Maur,4,15,48.87174684930295,2.3722528328789854,2023-12-06T02:45:09.412000Z
Place Albert Kahn,0,0,48.89579697978,2.3455855841349,2023-12-06T02:45:09.704000Z
Gare du Nord - Denain,19,1,48.879595787608,2.3544725775719,2023-12-06T02:45:11.616000Z
Lecourbe - Jean Maridor,0,19,48.83796366147599,2.2877392172813416,2023-12-06T02:45:09.964000Z
Grenelle - Violet,6,29,48.84993035512154,2.294612042605877,2023-12-06T02:45:10.554000Z
Repos - Cimetière du Père Lachaise,31,2,48.859358523593,2.3896131366845,2023-12-06T02:45:11.848000Z
Mouton Duvernet - Général Leclerc,15,22,48.831632518292565,2.3293121159076686,2023-12-06T02:45:09.957000Z
Enghien - Faubourg Poissonnière,28,4,48.872420063053,2.3483952362828,2023-12-06T02:45:11.537000Z
Place Robert Guillemard,12,11,48.836191728066666,2.2811267160086417,2023-12-06T02:45:10.987000Z
Raspail - Chomel,48,1,48.852233164303,2.3266580700874,2023-12-06T02:45:11.354000Z
Marc Sangnier - Porte de Vanves,19,1,48.825218683556734,2.3107116669416428,2023-12-06T02:45:10.104000Z
Etienne Jodelle - Saint Ouen,24,7,48.88794016394694,2.326124420314341,2023-12-06T02:45:10.705000Z
Marcelin Berthelot,20,7,48.8415473058801,2.233161628246308,2023-12-06T02:45:10.166000Z
Guy Môquet - Etienne Dolet,18,5,48.81527009991819,2.298078276995073,2023-12-06T02:45:09.380000Z
Jean Jaurès - Presles,14,16,48.90713441498779,2.396005728053061,2023-12-06T02:45:09.212000Z
Boissière - Etienne Dolet,1,19,48.876111,2.4677312,2023-12-06T02:45:11.483000Z
Edouard Tremblay - Julian Grimaux,23,7,48.781383825117,2.3723508417606,2023-12-06T02:45:09.999000Z
Bertie Albrecht - Hoche,32,0,48.87614039826388,2.301303138307601,2023-12-06T02:45:09.405000Z
Sibelle - Alésia,0,23,48.826701758539215,2.3384983465075493,2023-12-06T02:45:12.221000Z
Hôtel de Ville de Boulogne Billancourt,22,3,48.83495885166784,2.2416803240776066,2023-12-06T02:45:09.252000Z
Cevennes - Bergers,4,25,48.84240765130395,2.281037718057633,2023-12-06T02:45:10.918000Z
Molière - République,21,9,48.81111581390707,2.3145738624448158,2023-12-06T02:45:11.582000Z
Chevaleret - Tolbiac,8,12,48.82941,2.375934,2023-12-06T02:45:10.432000Z
Hoche - Jean Lolive,5,18,48.89110239200789,2.402843534946442,2023-12-06T02:45:10.453000Z
David Weill - Parc Montsouris,17,5,48.821092374256104,2.333725690841675,2023-12-06T02:45:09.505000Z
Hôtel de Ville de Nanterre,13,24,48.892371898250424,2.205548956990242,2023-12-06T02:45:09.926000Z
Marcadet - Barbès,13,21,48.890451120965,2.3490573929687,2023-12-06T02:45:10.863000Z
Vaneau - Sèvres,19,14,48.848563233059,2.3204218259346,2023-12-06T02:45:11.556000Z
Jean Jaurès - Salvador Allende,29,12,48.821475594736775,2.3026576638221745,2023-12-06T02:45:10.934000Z
François Debergue - Croix de Chavaux,54,3,48.857421708072074,2.437578141689301,2023-12-06T02:45:09.796000Z
Nationale - Place Jules Guesde,14,8,48.82753962462998,2.2416052222251897,2023-12-06T02:45:09.820000Z
Gabriel Péri - Danielle Casanova,1,18,48.790114,2.4025777,2023-12-06T02:45:11.652000Z
Route de la Muette - Porte de Neuilly,4,43,48.8798926,2.2587671,2023-12-06T02:45:10.638000Z
Carnot - Pâquerettes,6,20,48.79592939432515,2.4261841177940373,2023-12-06T02:45:11.619000Z
Tertres - Fontaine,19,8,48.787553654715644,2.306235730648041,2023-12-06T02:45:10.718000Z
Gare Rer de Fontenay sous Bois,53,7,48.8436279,2.4630465,2023-12-06T02:45:11.297000Z
Raspail - Manufacture des Oeillets,4,26,48.8094458,2.3903009,2023-12-06T02:45:09.523000Z
Lucie Aubrac - Franklin,30,5,48.86223916006812,2.4435862898826604,2023-12-06T02:45:09.854000Z
Place de l'Eglise - Vitry-sur-Seine,0,28,48.791922819921815,2.395057752728462,2023-12-06T02:45:09.293000Z
Noisy le Sec - Jean-Baptiste Clément,2,20,48.87451538963655,2.415283620357514,2023-12-06T02:45:09.440000Z
Marcelle - Thalie,8,9,48.8835462,2.4137883,2023-12-06T02:45:09.678000Z
Henri Ste-Claire Déville - Paul Héroult,20,4,48.892663,2.172411,2023-12-06T02:45:11.752000Z
Louis Lumière - Porte de Bagnolet,18,1,48.86431136000005,2.4105210229754443,2023-12-06T02:45:09.327000Z
Paris - Emile Zola,26,4,48.854898095789295,2.4186685681343083,2023-12-06T02:45:11.335000Z
Victor Hugo - Galliéni,19,13,48.83802015441127,2.2460845112800603,2023-12-06T02:45:09.260000Z
Victoire - Chaussée d'Antin,21,3,48.875065791004396,2.3316738009452824,2023-12-06T02:45:11.352000Z
Proudhon - Président Wilson,4,25,48.906442763495,2.3584905266762,2023-12-06T02:45:09.838000Z
Square Georges Melies,35,4,48.84070239213081,2.409667745232582,2023-12-06T02:45:09.845000Z
