lat&lon,name_of_business,distance_on_4sq,address
48.87929591733507_2.3373600840568547,Hanoi Corner,436,7 rue Blanche
48.87929591733507_2.3373600840568547,Le Trianon,578,"80 boulevard de Rochechouart, 18e"
48.87929591733507_2.3373600840568547,Mikkeller Bar Paris,590,32 rue de Rochechouart
48.87929591733507_2.3373600840568547,Acà,444,48 boulevard de Clichy
48.87929591733507_2.3373600840568547,Joe & The Juice,748,40 boulevard Haussman
48.87929591733507_2.3373600840568547,"The Wall of ""I love you"" (Le Mur des ""Je t'aime"")",618,Square Jehan Rictus
48.87929591733507_2.3373600840568547,Moulin Rouge,653,"82 boulevard de Clichy, 18e"
48.87929591733507_2.3373600840568547,Palais Garnier (Opéra Garnier),897,8 rue Scribe
48.87929591733507_2.3373600840568547,Kozy Lafayette,524,46 rue la Fayette
48.87929591733507_2.3373600840568547,Pret A Manger,521,45 rue la Fayette
48.87929591733507_2.3373600840568547,La Crème de Paris,947,2 rue du Faubourg Montmartre
48.87929591733507_2.3373600840568547,La Pause Libanaise,993,10 rue de l'Isly
48.87929591733507_2.3373600840568547,Perruche,953,Printemps de l'Homme
48.87929591733507_2.3373600840568547,Brasserie Bellanger,942,140 rue du Faubourg Poissonnière
48.87929591733507_2.3373600840568547,CoCo,878,Palais Garnier
48.87929591733507_2.3373600840568547,Le Relais de la Butte,722,12 rue Ravignan
48.87929591733507_2.3373600840568547,Hard Rock Cafe,873,14 boulevard Montmartre
48.87929591733507_2.3373600840568547,Café des Deux Moulins,678,"15 rue Lepic, 18e"
48.87929591733507_2.3373600840568547,Restaurant Garnier,929,111 rue Saint-Lazare
48.87929591733507_2.3373600840568547,Chipotle Mexican Grill,830,18-20 boulevard Montmartre
48.87929591733507_2.3373600840568547,La Tête Dans les Nuages,835,5 boulevard des Italiens
48.87929591733507_2.3373600840568547,Starbucks,735,"32 boulevard Haussmann, Paris"
48.87929591733507_2.3373600840568547,El&N,737,40 boulevard Haussman
48.87929591733507_2.3373600840568547,Bouillon Chartier,914,7 rue du Faubourg Montmartre
48.87929591733507_2.3373600840568547,À Côté,665,16 rue la Fayette
48.87929591733507_2.3373600840568547,Le Moulin de la Galette,896,83 rue Lepic
48.87929591733507_2.3373600840568547,Clichy's Tavern,847,128 bis boulevard de Clichy
48.87929591733507_2.3373600840568547,Café Marguerite,203,28 rue des Martyrs
48.87929591733507_2.3373600840568547,La Virgule,920,37-61 rue du Chevalier de la Barre
48.87929591733507_2.3373600840568547,La Maison Rose,979,1–15 rue de l'Abreuvoir
48.87929591733507_2.3373600840568547,L'Entracte,979,1 rue Auber
48.87929591733507_2.3373600840568547,Léon de Bruxelles,847,8 place de Clichy
48.87929591733507_2.3373600840568547,EXKi,810,22 rue de la Chaussée d'Antin
48.87929591733507_2.3373600840568547,Le Ventura,261,58 rue des Martyrs
48.87929591733507_2.3373600840568547,Place de Clichy,857,4 place de Clichy
48.87929591733507_2.3373600840568547,Indiana Café,828,79 boulevard de Clichy
48.87929591733507_2.3373600840568547,Le Royal,710,8 rue la Fayette
48.87929591733507_2.3373600840568547,Nirvana Inde,785,6 rue de Moscou
