lat&lon,name_x,address,distance,name_y,rating,reviews,distance_on_yelp
48.85669155011532_2.306646779179573,L'Eclair,32 rue Cler,246,L'Éclair,4.0,89,57.0
48.85669155011532_2.306646779179573,Kozy Salon Urbain,79 avenue Bosquet,417,Kozy Bosquet,4.5,298,169.0
48.85669155011532_2.306646779179573,L'Ami Jean,27 rue Malar,553,L'Ami Jean,4.0,251,391.0
48.85669155011532_2.306646779179573,La Fontaine de Mars,129 rue Saint-Dominique,666,La Fontaine de Mars,4.5,340,353.0
48.857058739111_2.3417982839439,Kodawari Ramen,29 rue Mazarine,917,Kodawari Ramen,4.0,95,379.0
48.883667_2.395733,Cité de la Musique,221 avenue Jean Jaurès,772,Philharmonie de Paris,4.5,23,643.0
48.883667_2.395733,Grande Halle de la Villette,211 avenue Jean Jaurès,790,Parc de la Villette,4.0,35,942.0
48.883667_2.395733,Au Bœuf Couronné,188 avenue Jean Jaurès,822,Au Boeuf Couronné,4.0,98,608.0
48.845515089794_2.3726498446286,East Mamma,133 rue du Faubourg Saint-Antoine,52,East Mamma,4.5,262,718.0
48.857615678565_2.3358313530377,Kodawari Ramen,29 rue Mazarine,828,Kodawari Ramen,4.0,95,370.0
48.8978765_2.3230632,Octopussy Bar,22 rue de la Jonquière,799,Octopussy,4.5,8,505.0
48.8978765_2.3230632,Chez Irène et Bernard,58 rue Gauthey,837,Irène et Bernard,4.0,42,480.0
48.838683941628375_2.3110422492027287,Bong,42 rue Blomet,354,Bong,4.0,74,596.0
48.838683941628375_2.3110422492027287,Le Ciel de Paris,33 avenue du Maine,582,Ciel de Paris,3.5,234,899.0
48.849063299501_2.3558086529374,Berthillon,29-31 rue Saint-Louis en l'Île,735,Berthillon,4.5,756,301.0
48.849063299501_2.3558086529374,Le temps des cerises,31 rue de la Cerisaie,861,Le Temps des Cerises,4.5,375,726.0
48.856502977696_2.2931787543289,Restaurant 58 Tour Eiffel,5 avenue Anatole France,984,La Tour Eiffel,4.5,2052,228.0
48.856502977696_2.2931787543289,Ladurée,5 avenue Anatole France,308,La Tour Eiffel,4.5,2052,228.0
48.862923800596_2.4155035614967,Peppe Pizzeria,2 place Saint-Blaise,432,Peppe,5.0,10,885.0
48.862923800596_2.4155035614967,Peppe Pizzeria,2 place Saint-Blaise,432,Blaise et Basile,4.0,11,884.0
48.862923800596_2.4155035614967,Le Papillon,144 rue de Bagnolet,666,Café Le Papillon,4.0,14,1033.0
48.8847601_2.3534657,Brasserie Bellanger,140 rue du Faubourg Poissonnière,954,Brasserie Bellanger,5.0,21,495.0
48.8847601_2.3534657,Atelier Ramey,23 rue Ramey,1028,L'Atelier Ramey,5.0,26,630.0
48.87745567681383_2.309694221419506,Le Sens Unique,47 rue de Ponthieu,885,Le Sens Unique,4.5,76,686.0
48.87748519186726_2.3660067468881607,Siseng,82 quai de Jemmapes,350,Siseng,4.5,161,581.0
48.87748519186726_2.3660067468881607,Khayma rooftop,9-11 place du Colonel Fabien,404,Generator Paris,3.5,53,274.0
48.88917613743794_2.383365333080292,Simonetta,32 quai de la Marne,851,Simonetta,4.5,7,131.0
48.88917613743794_2.383365333080292,Les Bancs Publics,2 rue de Nantes,851,Les Bancs Publics,4.5,22,193.0
48.88917613743794_2.383365333080292,Le Pavillon des Canaux,39 quai de la Loire,883,Le Pavillon des Canaux,4.5,103,393.0
48.88917613743794_2.383365333080292,Café Odilon,16 quai de la Marne,762,Café Odilon,5.0,8,118.0
48.881949_2.352339,Brasserie Bellanger,140 rue du Faubourg Poissonnière,929,Brasserie Bellanger,5.0,21,204.0
48.88896161855884_2.322528975094376,Café Dose Paris Batignolles,82 place du Docteur Félix Lobligeois,561,Dose,4.5,23,400.0
48.884492238407525_2.370394170284272,Les Marmites Volantes,69 rue Armand Carrel,334,Les Marmites Volantes,4.5,12,287.0
48.884492238407525_2.370394170284272,Le Pavillon des Canaux,39 quai de la Loire,626,Le Pavillon des Canaux,4.5,103,689.0
48.87070242355431_2.358739863900845,Holybelly 5,19 rue Lucien Sampaix,761,Holybelly 19,4.5,300,218.0
48.87334627510507_2.337980867701675,Hard Rock Cafe,14 boulevard Montmartre,753,Hard Rock Cafe Paris,3.5,220,320.0
48.872010281270974_2.392039597034455,Afrik'N'Fusion,330 rue des Pyrénées,409,Afrik'N'Fusion 20ème,4.0,18,181.0
48.847208456061_2.3861273378134,East Mamma,133 rue du Faubourg Saint-Antoine,817,East Mamma,4.5,262,747.0
48.847208456061_2.3861273378134,Louie Louie,78 rue de Charonne,225,Louie Louie,4.5,46,817.0
48.862147844548_2.3772348091006,Ober Mamma,107 boulevard Richard Lenoir,706,Ober Mamma,4.5,307,582.0
48.88192765861766_2.392586767673493,Au Bœuf Couronné,188 avenue Jean Jaurès,999,Au Boeuf Couronné,4.0,98,715.0
48.88192765861766_2.392586767673493,Afrik'N'Fusion,330 rue des Pyrénées,277,Afrik'N'Fusion 20ème,4.0,18,977.0
48.874746047357135_2.3082953318953514,Shabestan,5 rue du Commandant Rivière,419,Shabestan,5.0,17,246.0
48.85868877406296_2.383553994571467,Louie Louie,78 rue de Charonne,324,Louie Louie,4.5,46,622.0
48.8687591_2.4329931,Villa 9 Trois,71 rue Hoche,512,Villa 9 Trois,4.0,28,550.0
48.84097491091973_2.264390252530575,Au Trinquet,8 quai Saint-Exupéry,609,Trinquet Village,4.0,18,342.0
48.84097491091973_2.264390252530575,Pizzeria d'Auteuil,81 rue Jean de la Fontaine,304,Pizzeria d'Auteuil,4.0,66,849.0
48.84097491091973_2.264390252530575,Il Farniente,44 rue des Perchamps,964,Il Far'niente,4.5,32,998.0
48.88364782887555_2.2952447086572647,Schwartz's Deli,22 avenue Niel,518,Schwartz's Deli,4.0,55,356.0
48.837668272811_2.3448138346607,Au P'tit Grec,68 rue Mouffetard,972,Au P'tit Grec,4.5,219,665.0
48.837668272811_2.3448138346607,Arrivederci Pizzeria,47 rue Gay-Lussac,359,Arrivederci,4.5,18,468.0
48.83761417037952_2.397253782195704,Le Janissaire,22-24 allée Vivaldi,581,Le Janissaire,4.0,83,601.0
48.83761417037952_2.397253782195704,Le Picotin,35 rue Sibuet,668,Le Picotin,4.5,46,778.0
48.852804604940296_2.293077029857222,Au Dernier Métro,70 boulevard de Grenelle,483,Au Dernier Métro,4.0,175,274.0
48.852804604940296_2.293077029857222,Restaurant 58 Tour Eiffel,5 avenue Anatole France,546,La Tour Eiffel,4.5,2052,627.0
48.893923963057865_2.39790290594101,Cité de la Musique,221 avenue Jean Jaurès,970,Philharmonie de Paris,4.5,23,594.0
48.893923963057865_2.39790290594101,Grande Halle de la Villette,211 avenue Jean Jaurès,257,Parc de la Villette,4.0,35,499.0
48.893923963057865_2.39790290594101,Pathé la Villette,30 avenue Corentin Cariou,317,Cité des Sciences et de l'Industrie,4.0,119,755.0
48.893923963057865_2.39790290594101,Pathé la Villette,30 avenue Corentin Cariou,317,La Cité des Enfants,4.5,13,760.0
48.893923963057865_2.39790290594101,Cité des Sciences et de l'Industrie,30 avenue Corentin Cariou,347,Cité des Sciences et de l'Industrie,4.0,119,755.0
